status	drivePath	id	mimeType	modifiedTime	driveSize	localPath	originalBytes	storedBytes	outputsStripped	validNotebookJson
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Drafts/Copy of latest_6_6.ipynb	1y7KyWJGdJpatyhyqTchbtWlBhZvUYR26	application/octet-stream	2025-06-12T18:49:42.000Z	4632	research_2025_summer_distal_speech_rate/Project_Code/Drafts/Copy_of_latest_6_6.ipynb	4632	5005	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Drafts/khanh_6_6.ipynb	1W9yYhUHT-XmQyh19oMh8nb6-6MeO0Nyp	application/octet-stream	2025-06-11T13:10:01.000Z	43621	research_2025_summer_distal_speech_rate/Project_Code/Drafts/khanh_6_6.ipynb	43621	9254	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Drafts/latest_6_6.ipynb	17ysktdm83rWJZaQKmzrgtQPLV_Uap3XU	application/octet-stream	2025-06-11T14:13:02.000Z	869665	research_2025_summer_distal_speech_rate/Project_Code/Drafts/latest_6_6.ipynb	869665	13714	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Drafts/stimuli.ipynb	1aRCaHtFD7YwAIhsUQaIKJAt6bVxOtDcx	application/octet-stream	2025-06-11T17:34:54.000Z	81785	research_2025_summer_distal_speech_rate/Project_Code/Drafts/stimuli.ipynb	81785	8834	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Envelope_Analysis/Envelope_Analysis.ipynb	17dUs-UmHLePwQY6VAbRgro_9e4_1DKEH	application/octet-stream	2025-06-11T17:34:10.000Z	10732	research_2025_summer_distal_speech_rate/Project_Code/Envelope_Analysis/Envelope_Analysis.ipynb	10732	10595	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Envelope_Analysis/Improved_Version_of_Morlet_Envelope_Analysis.ipynb	15x1_k2tpxji4H9bhE5N-cCtQU5rNkSwV	application/octet-stream	2025-06-11T19:49:10.000Z	15277921	research_2025_summer_distal_speech_rate/Project_Code/Envelope_Analysis/Improved_Version_of_Morlet_Envelope_Analysis.ipynb	15277921	4807	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Envelope_Analysis/Morlet_Envelope_Analysis.ipynb	12QljShtmkU2qrcDAZIB5C2BMpGW-fWb3	application/octet-stream	2025-06-11T19:39:24.000Z	56472249	research_2025_summer_distal_speech_rate/Project_Code/Envelope_Analysis/Morlet_Envelope_Analysis.ipynb	56472249	20530	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/6_12_Khanh.ipynb	1-klekny4ikYBxh6GyVOa6HkIMON9OpVd	application/octet-stream	2025-06-13T13:58:23.000Z	1148258	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/6_12_Khanh.ipynb	1148258	7194	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/Artifacts Removal/6_11_artifacts.ipynb	1qIxF1zgflgYgT6Zuv7WN-Qac6Kqd-6fP	application/octet-stream	2025-06-13T03:32:13.000Z	102019	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/Artifacts_Removal/6_11_artifacts.ipynb	102019	8800	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/Artifacts Removal/ASR.ipynb	1WMvRjTOMVHERWWGMXPkU4yHUAAPFkIC7	application/octet-stream	2025-06-12T16:04:38.000Z	20420	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/Artifacts_Removal/ASR.ipynb	20420	20102	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/Artifacts Removal/ICA.ipynb	1hcGxQ356c1NvTc-jLtjLCBPUoWWwI-0W	application/octet-stream	2025-06-12T18:22:36.000Z	95606	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/Artifacts_Removal/ICA.ipynb	95606	18193	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/Copy of New_ERP_Analysis.ipynb	11JHKjUjNCMUCe3bNiEvN3ErGxLIUz1mY	application/octet-stream	2025-06-13T14:22:23.000Z	5861	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/Copy_of_New_ERP_Analysis.ipynb	5861	6758	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/New_ERP_Analysis.ipynb	1JX4EoFhfq_vzOHGf4oUNgj3CcjKeQMD5	application/octet-stream	2025-06-12T21:39:44.000Z	22025	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/New_ERP_Analysis.ipynb	22025	6724	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ERPs_Analysis/Onset Correction/Onset_Correction.ipynb	1up2ynVjMpMFix3I8bveIHpckzDAh0Yq4	application/octet-stream	2025-06-12T15:58:37.000Z	3562	research_2025_summer_distal_speech_rate/Project_Code/ERPs_Analysis/Onset_Correction/Onset_Correction.ipynb	3562	2362	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/3sd.ipynb	1E8SjpELsXP8-6PYa2s4WSiO-e-lnAMBF	application/vnd.google.colaboratory	2025-07-03T15:00:41.727Z	88005	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/3sd.ipynb	88005	17749	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/5 sd 	1aSkkOaZzS1yTmuaYN7h2GVZ7HPXWeq-k	application/vnd.google.colaboratory	2025-07-03T15:53:34.872Z	895860	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/5_sd.ipynb	895860	28387	true	true
